130.81,1,3.1081,0.66568,0.67343,2.7848,1.063,0,0.64384,0.62771,1.6996
146.83,1,1.8426,0.74483,1.0389,0.09915,0.25355,0.2446,0.10166,0.12259,0
164.81,1,2.5139,0.29192,1.9052,0.13043,0.5834,0,0.13044,0,0
174.61,1,0.28612,0,0.091263,0.10529,0.15699,0,0.1092,0,0
196,1,1.2519,0.96542,0.13752,0,0,0,0,0,0
220,1,0.34067,0.086018,0,0,0,0,0,0,0
246.94,1,0.64172,0.32575,0.52687,0,0.11382,0.1982,0.13947,0.20192,0
261.63,1,0.51389,0.13623,0.098714,0,0.072065,0,0,0,0
293.66,1,0.78282,0,0,0,0,0,0,0,0
329.63,1,1.8337,1.0939,1.1833,0.12362,0,0.31193,0.12977,0,0
